[browser:warning] [4284.9ms][Profile] Batch decode (N=4):
[browser:warning] [4285.2ms][Profile] GPU Profile Report
──────────────────────────────────────────────────
Kernel                      Time (ms)       %
matmul:q_proj:L21                0.13     0.0
matmul:o_proj:L21                0.13     0.0
matmul:o_proj:L24                0.13     0.0
matmul:q_proj:L24                0.13     0.0
matmul:o_proj:L19                0.13     0.0
matmul:o_proj:L25                0.13     0.0
matmul:o_proj:L16                0.13     0.0
matmul:o_proj:L13                0.13     0.0
matmul:q_proj:L16                0.13     0.0
matmul:q_proj:L25                0.13     0.0
matmul:q_proj:L13                0.13     0.0
sample_phase1                    0.10     0.0
matmul:k_proj:L15                0.08     0.0
matmul:k_proj:L0                 0.07     0.0
matmul:v_proj:L15                0.07     0.0
matmul:v_proj:L0                 0.07     0.0
matmul:k_proj:L9                 0.07     0.0
matmul:v_proj:L9                 0.06     0.0
matmul:k_proj:L17                0.06     0.0
matmul:k_proj:L20                0.06     0.0
matmul:v_proj:L22                0.06     0.0
matmul:k_proj:L1                 0.06     0.0
matmul:v_proj:L17                0.06     0.0
matmul:v_proj:L20                0.06     0.0
matmul:v_proj:L5                 0.05     0.0
matmul:k_proj:L11                0.05     0.0
matmul:k_proj:L5                 0.05     0.0
sample_phase3                    0.05     0.0
matmul:k_proj:L22                0.05     0.0
matmul:v_proj:L1                 0.05     0.0
matmul:k_proj:L12                0.05     0.0
matmul:k_proj:L10                0.05     0.0
matmul:k_proj:L2                 0.05     0.0
matmul:v_proj:L14                0.05     0.0
matmul:v_proj:L12                0.05     0.0
matmul:k_proj:L3                 0.05     0.0
matmul:v_proj:L11                0.05     0.0
matmul:v_proj:L10                0.05     0.0
matmul:v_proj:L2                 0.05     0.0
matmul:k_proj:L6                 0.05     0.0
matmul:k_proj:L4                 0.05     0.0
matmul:k_proj:L18                0.05     0.0
matmul:k_proj:L14                0.05     0.0
matmul:k_proj:L23                0.05     0.0
matmul:v_proj:L18                0.05     0.0
matmul:v_proj:L3                 0.05     0.0
matmul:v_proj:L23                0.05     0.0
matmul:k_proj:L7                 0.05     0.0
matmul:v_proj:L6                 0.05     0.0
matmul:v_proj:L4                 0.05     0.0
matmul:k_proj:L25                0.05     0.0
matmul:k_proj:L21                0.05     0.0
matmul:v_proj:L7                 0.05     0.0
matmul:k_proj:L16                0.05     0.0
matmul:k_proj:L8                 0.05     0.0
matmul:v_proj:L8                 0.05     0.0
matmul:v_proj:L19                0.05     0.0
matmul:v_proj:L25                0.05     0.0
matmul:v_proj:L21                0.05     0.0
matmul:k_proj:L19                0.04     0.0
matmul:k_proj:L13                0.04     0.0
matmul:v_proj:L13                0.04     0.0
matmul:v_proj:L16                0.04     0.0
matmul:v_proj:L24                0.04     0.0
matmul:k_proj:L24                0.04     0.0
gather                           0.03     0.0
scale                            0.02     0.0
──────────────────────────────────────────────────
TOTAL                          363.27   100.0
